timestamp,open,high,low,close,volume
2023-01-13,50980.275531692576,51568.200375705055,50961.48474517287,51501.08574230367,512
2023-01-17,51546.72238218393,51546.72238218393,51146.71851169533,51200.41021841644,706
2023-01-18,51305.10970193894,51305.10970193894,51090.342875054506,51125.24379525591,1027
2023-01-19,51600.41408890504,51860.820832751444,51600.41408890504,51600.41408890504,371
2023-01-20,51600.41408890504,51772.22820582893,51581.623302385335,51715.85256918811,1346
2023-01-23,51718.53649910782,51734.64335570781,51409.80918546145,51734.64335570781,218
2023-01-24,51860.820832751444,51995.05009955421,51860.820832751444,51917.196469392264,201
2023-01-25,52113.16923267528,52113.16923267528,52075.58765963587,52113.16923267528,7
2023-01-26,51989.67896263308,52003.10188931335,51734.64335570781,51788.335062428916,131
2023-01-27,51774.912135748644,51774.912135748644,51774.912135748644,51774.912135748644,150902
2023-01-30,51766.8603459895,51909.14140255142,51552.09351910507,51621.892082426166,27220
2023-01-31,51624.57601234588,51823.23598263032,51023.22824165312,51799.07405918948,1910
2023-02-01,51737.32728562752,52483.64331988362,51597.73015898532,51753.43741930922,2290
2023-02-02,52411.1608266428,52593.71066324555,51310.48083886008,51444.71010566285,748
2023-02-03,51340.01062214035,51463.50089218256,49973.55603067179,50011.14088079291,992
2023-02-06,50083.62337403372,50470.20431784204,50024.56380747318,50099.730230633715,424
2023-02-07,50201.745784236504,50354.76583755898,50148.05407751539,50247.38242411676,297
2023-02-08,50258.12142087732,50480.943314602606,50258.12142087732,50400.40575452094,230
2023-02-09,50344.030117880124,50593.69458788425,49927.91939079153,50099.730230633715,223
2023-02-10,49976.239960591505,50027.2477373929,49729.25942050709,50008.456950873195,27
2023-02-13,49906.441397270406,49960.13310399152,49664.82871702542,49715.83649382681,569
2023-02-14,49774.89606038735,49986.97895735207,49562.81316342263,49772.21213046763,656
2023-02-15,49450.06189014098,49450.06189014098,49079.58780293265,49240.66292309597,368
2023-02-16,49358.78533329876,49495.69853002124,49052.7419495721,49450.06189014098,222
2023-02-17,49058.113086493235,49455.42974998041,48816.50040624825,49407.109180180436,35
2023-02-21,49466.16874674097,49476.907743501535,49208.449209895996,49208.449209895996,862
2023-02-22,49280.931703136805,49294.354629817084,48996.36631293128,49181.60335653544,278
2023-02-23,49031.267233132676,49060.797016412944,48805.76140948768,48805.76140948768,291
2023-02-24,48558.780869403265,48558.780869403265,48558.780869403265,48558.780869403265,404
2023-02-27,48633.94729256379,48792.338482807405,48561.46479932298,48778.915556127125,829
2023-02-28,48539.986805801855,49127.911649814334,48539.986805801855,49098.381866534066,618
2023-03-01,49050.05801965238,49442.00682330014,49050.05801965238,49334.623409857915,211
2023-03-02,49127.911649814334,49297.041836818506,49127.911649814334,49221.87213657627,154
2023-03-03,49323.887690179065,49809.796980588755,49323.887690179065,49603.08194346346,61
2023-03-06,49753.42134394793,49766.84427062821,49509.12145670152,49608.45308038459,5
2023-03-07,49420.532106860715,49420.532106860715,48695.69406612575,48695.69406612575,450
2023-03-08,48633.94729256379,48668.848212765195,48631.26336264408,48663.47707584406,75
2023-03-09,48762.80869952714,49109.12086329463,48741.33070600601,49109.12086329463,332
2023-03-10,49726.57549058738,50161.47700419567,49718.52042374653,49986.97895735207,248
2023-03-13,50760.140844968715,51358.80140866005,50338.658980958986,51321.21655853893,503
2023-03-14,51334.63948521921,51334.63948521921,51036.6511683334,51173.564365055885,107
2023-03-15,51111.82086857563,51721.22042902753,50966.852605012304,51721.22042902753,564
2023-03-16,51272.89598873896,51858.133625750015,51272.89598873896,51517.19259890366,394
2023-03-17,52242.03063963863,53291.70285061996,52242.03063963863,52880.9632604525,82
2023-03-20,53377.61154762276,53796.406204631065,52856.80133701166,53133.31166037635,389
2023-03-21,52988.346673894725,52988.346673894725,52027.263812754194,52027.263812754194,47
2023-03-22,52263.508633159756,52993.71453373415,52263.508633159756,52263.508633159756,50
2023-03-23,53436.67111418329,53546.73845754522,53436.67111418329,53525.26374110581,33
2023-03-24,53468.88482738328,53568.21645106635,53211.165290538294,53211.165290538294,19
2023-03-27,52542.70288644415,52542.70288644415,52413.84475656252,52413.84475656252,877
2023-03-28,52950.7618237736,52950.7618237736,52950.7618237736,52950.7618237736,21
2023-03-29,52781.63163676943,52781.63163676943,52781.63163676943,52781.63163676943,88563
2023-03-30,52776.26377693,53272.91206410025,52480.9593899639,53162.84472073832,10119
2023-03-31,53189.69057409888,53337.342767581926,52832.639413570825,52859.48526693138,957
2023-04-03,52835.323343490534,53468.88482738328,52349.41405308084,53259.48913741998,737
2023-04-04,53278.279923939685,54419.22869176324,53127.94380053692,54287.68335488018,811
2023-04-05,54284.999424960464,54599.09787552798,54056.80967139576,54252.78571176049,525
2023-04-06,54287.68335488018,54317.21641524216,53825.93598791133,54011.1730315155,0
2023-04-10,53691.70672110856,53868.88869787187,53262.17306733969,53399.08626406218,652
2023-04-11,53460.833037624136,53866.204767952164,53460.833037624136,53820.5681280719,68
2023-04-12,53831.30384775076,54381.64384164212,53831.30384775076,53984.32717815494,172
2023-04-13,54110.50137811687,54996.417816096866,54110.50137811687,54800.441775732135,1043
2023-04-14,54792.38670889129,54974.93982257574,53557.47745430579,53750.766287669096,718
2023-04-17,53764.189214349375,53895.73455123243,53240.69507381856,53535.99946078466,554
2023-04-18,53608.48523110718,53890.36669139301,53608.48523110718,53890.36669139301,72
2023-04-19,53844.72677443104,53863.52083803245,52880.9632604525,53562.84531414521,61
2023-04-20,53638.01501438745,53895.73455123243,53638.01501438745,53895.73455123243,164
2023-04-21,53589.69116750577,53589.69116750577,52996.39846365386,53141.366727217195,132
2023-04-24,53189.69057409888,53417.88032766359,53084.991090576375,53399.08626406218,145
2023-04-25,53576.26824082549,53667.54479766772,53216.53642745943,53530.631600945235,306
2023-04-26,53632.64715454802,53659.493007908575,53305.125777300236,53307.80970721995,615
2023-04-27,53439.35504410301,53753.45349467052,53152.10572397776,53420.564257583304,355
2023-04-28,53340.02669750164,53425.93211742273,53093.04288033552,53425.93211742273,152
2023-05-01,53157.47358381719,53825.93598791133,53071.568163896096,53246.0662107397,210
2023-05-02,53549.42238746494,54174.932081598534,53549.42238746494,54075.60373499717,1896
2023-05-03,54150.7701581577,54633.99551864767,54099.762381356304,54459.49747180407,1349
2023-05-04,54899.7701223335,55624.60816306847,54765.54085553073,54980.307682415165,930
2023-05-05,54937.35497245462,54937.35497245462,53807.14520139163,54158.825224998545,59
2023-05-08,54295.73842172103,54397.75397532382,54295.73842172103,54397.75397532382,3
2023-05-09,54405.805765082965,54693.05836228992,54387.01497856326,54663.52530192794,241
2023-05-10,54558.82909548715,54880.9793358138,54483.65939524491,54510.50524860546,248
2023-05-11,54607.14966528712,54719.90421565047,54067.54866815632,54086.339454676025,90
2023-05-12,54080.9715948366,54080.9715948366,54080.9715948366,54080.9715948366,115
2023-05-15,54062.180808316894,54174.932081598534,54062.180808316894,54174.932081598534,3
2023-05-16,53380.29547754247,53380.29547754247,53380.29547754247,53380.29547754247,49
