timestamp,symbol,open,high,low,close,volume
2016-01-01,MCX:GOLD,24976.0,25071.0,24900.0,24943.0,2120.0
2016-01-04,MCX:GOLD,25234.0,25505.0,25030.0,25423.0,750.0
2016-01-05,MCX:GOLD,25360.0,25486.0,25360.0,25430.0,170.0
2016-01-06,MCX:GOLD,25440.0,25789.0,25421.0,25756.0,24140.0
2016-01-07,MCX:GOLD,25800.0,26130.0,25780.0,26106.0,25320.0
2016-01-08,MCX:GOLD,26035.0,26095.0,25785.0,25989.0,23700.0
2016-01-11,MCX:GOLD,26075.0,26110.0,25831.0,25877.0,19910.0
2016-01-12,MCX:GOLD,25876.0,25966.0,25630.0,25689.0,20160.0
2016-01-13,MCX:GOLD,25660.0,25794.0,25530.0,25750.0,18360.0
2016-01-14,MCX:GOLD,25800.0,26028.0,25609.0,25652.0,24080.0
2016-01-15,MCX:GOLD,25630.0,26220.0,25630.0,26126.0,29460.0
2016-01-18,MCX:GOLD,26073.0,26110.0,25971.0,26070.0,14090.0
2016-01-19,MCX:GOLD,26041.0,26085.0,25873.0,26064.0,20910.0
2016-01-20,MCX:GOLD,26100.0,26661.0,26100.0,26563.0,32270.000000000004
2016-01-21,MCX:GOLD,26473.0,26513.0,26150.0,26190.0,28390.0
2016-01-22,MCX:GOLD,26254.0,26301.0,26113.0,26168.0,16830.0
2016-01-25,MCX:GOLD,26170.0,26444.0,26170.0,26391.0,16219.999999999998
2016-01-27,MCX:GOLD,26450.0,26819.0,26450.0,26736.0,15510.0
2016-01-28,MCX:GOLD,26850.0,26900.0,26600.0,26701.0,16510.0
2016-01-29,MCX:GOLD,26679.0,26763.0,26527.0,26709.0,15260.0
2016-02-01,MCX:GOLD,26755.0,27049.0,26645.0,26973.0,3570.0
2016-02-02,MCX:GOLD,27782.0,27782.0,26861.0,27008.0,1050.0
2016-02-03,MCX:GOLD,27134.0,27325.0,26976.0,27285.0,440.0
2016-02-04,MCX:GOLD,27235.0,27800.0,27207.0,27656.0,110.0
2016-02-05,MCX:GOLD,27770.0,28113.0,26850.0,27568.0,190.0
2016-02-08,MCX:GOLD,27496.0,28429.0,27496.0,28367.0,29380.0
2016-02-09,MCX:GOLD,28345.0,28423.0,28078.0,28325.0,24630.0
2016-02-10,MCX:GOLD,28238.0,28250.0,27935.0,28211.0,20530.0
2016-02-11,MCX:GOLD,28250.0,30000.0,28250.0,29706.0,46400.0
2016-02-12,MCX:GOLD,29517.0,29722.0,29251.0,29287.0,24730.0
